Facing,Square Feet,BHK Apartment,Price,Furnish Status,Deposit Status,Bathroom Count,Location,Amenities
null,1180,2 BHK Apartment,19000 ,Furnished,No Deposit,2 bathrooms,"Ulwe, Mumbai","Swimming Pool, Lift(s), 24 X 7 Security, Staff Quarter, Indoor Games, Full Power Backup, Vaastu Compliant, Rain Water Harvesting, Intercom, Maintenance Staff, Jogging Track, Club House, Children's play area, Car Parking, Gymnasium, Landscaped Gardens, Sports Facility"
null,1120,2 BHK Apartment,12500 ,Unfurnished,No Deposit,2 bathrooms,"Ulwe, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,750,2 BHK Apartment,28500 ,Unfurnished,No Deposit,2 bathrooms,"Kandivali West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
East facing,1400,3 BHK Apartment,50000 ,Semi-Furnished,No Deposit,3 bathrooms,"Chembur, Mumbai","Gymnasium, Lift(s), Intercom, Sports Facility, Full Power Backup, Club House, Children's play area, 24 X 7 Security, Swimming Pool, Jogging Track, Landscaped Gardens"
East facing,450,1 RK Studio Apartment,3000 ,Unfurnished,No Deposit,1 bathrooms,"Badlapur East, Mumbai","Car Parking, Multipurpose Room, Sports Facility, Lift(s), Children's play area, Rain Water Harvesting, Intercom, Maintenance Staff, Jogging Track, Vaastu Compliant, Full Power Backup, Gymnasium, Club House, 24 X 7 Security, Landscaped Gardens, Swimming Pool"
null,700,1 BHK Apartment,9500 ,Unfurnished,No Deposit,2 bathrooms,"Dombivali, Mumbai","Jogging Track, ATM, Intercom, Lift(s), Cafeteria, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Multipurpose Room, Swimming Pool, Indoor Games, Hospital, School, Shopping Mall, Landscaped Gardens, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security, Sports Facility"
null,600,1 BHK Apartment,55000 ,Furnished,No Deposit,2 bathrooms,"Bandra West, Mumbai","Children's play area, Lift(s), Full Power Backup, 24 X 7 Security, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
East facing,900,2 BHK Apartment,65000 ,Unfurnished,No Deposit,2 bathrooms,"Andheri East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,380,1 RK Studio Apartment,20000 ,Semi-Furnished,No Deposit,1 bathrooms,"Kandivali East, Mumbai","Sports Facility, ATM, Jogging Track, Lift(s), Maintenance Staff, Full Power Backup, Intercom, Children's play area, Rain Water Harvesting, Club House, Swimming Pool, Shopping Mall, Multipurpose Room, Staff Quarter, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security, Landscaped Gardens"
null,900,2 BHK Apartment,50000 ,Unfurnished,No Deposit,2 bathrooms,"Powai, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1300,3 BHK Apartment,77000 ,Furnished,No Deposit,2 bathrooms,"Kandivali East, Mumbai","Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Children's play area, 24 X 7 Security, Jogging Track, Landscaped Gardens"
North facing,1050,3 BHK Apartment,90000 ,Semi-Furnished,No Deposit,3 bathrooms,"Andheri West, Mumbai","Intercom, Full Power Backup, Lift(s), Children's play area, Club House, Landscaped Gardens, Swimming Pool, Sports Facility, Jogging Track, 24 X 7 Security, Gymnasium"
null,595,1 BHK Apartment,11000 ,Semi-Furnished,No Deposit,1 bathrooms,"Kalyan West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
North facing,750,2 BHK Apartment,40000 ,Semi-Furnished,No Deposit,2 bathrooms,"Bhandup West, Mumbai","Gymnasium, Lift(s), Intercom, Swimming Pool, Full Power Backup, Club House, Children's play area, 24 X 7 Security, Sports Facility, Jogging Track, Landscaped Gardens"
East facing,850,2 BHK Apartment,65000 ,Unfurnished,No Deposit,2 bathrooms,"Bandra West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
West facing,650,1 BHK Apartment,4500 ,Semi-Furnished,No Deposit,2 bathrooms,"Palghar, Mumbai","Full Power Backup, Lift(s), 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
SouthWest facing,1800,3 BHK Apartment,275000 ,Semi-Furnished,No Deposit,3 bathrooms,"Worli, Mumbai","Sports Facility, School, Lift(s), Full Power Backup, Maintenance Staff, Children's play area, Intercom, Club House, Shopping Mall, Multipurpose Room, Rain Water Harvesting, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool, Landscaped Gardens, Jogging Track"
null,850,2 BHK Apartment,125000 ,Furnished,No Deposit,2 bathrooms,"Andheri West, Mumbai","Sports Facility, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Maintenance Staff, Club House, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Intercom, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool, Landscaped Gardens"
SouthWest facing,630,1 BHK Apartment,34000 ,Unfurnished,No Deposit,2 bathrooms,"Kanjurmarg, Mumbai","Swimming Pool, Lift(s), 24 X 7 Security, Multipurpose Room, Jogging Track, Full Power Backup, Vaastu Compliant, Staff Quarter, Rain Water Harvesting, Intercom, Maintenance Staff, Club House, Children's play area, Car Parking, Gymnasium, Landscaped Gardens, Sports Facility"
null,580,1 BHK Apartment,25000 ,Unfurnished,No Deposit,1 bathrooms,"Sanpada, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
East facing,510,1 BHK Apartment,9000 ,Unfurnished,No Deposit,1 bathrooms,"Kharghar, Mumbai","Children's play area, Lift(s), Full Power Backup, 24 X 7 Security, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
West facing,1400,3 BHK Apartment,35000 ,Semi-Furnished,No Deposit,3 bathrooms,"Ulwe, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
NorthEast facing,615,1 BHK Apartment,30000 ,Semi-Furnished,No Deposit,1 bathrooms,"Ghatkopar East, Mumbai","Sports Facility, Full Power Backup, Lift(s), 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Jogging Track, Landscaped Gardens"
NorthEast facing,1075,2 BHK Apartment,68000 ,Unfurnished,No Deposit,2 bathrooms,"Chembur, Mumbai","Full Power Backup, Lift(s), 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
North facing,1500,3 BHK Apartment,82000 ,Unfurnished,No Deposit,3 bathrooms,"Borivali East, Mumbai","Swimming Pool, Landscaped Gardens, Sports Facility, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Club House, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Intercom, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking"
East facing,550,1 BHK Apartment,27000 ,Furnished,No Deposit,1 bathrooms,"Goregaon East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,900,2 BHK Apartment,50000 ,Furnished,No Deposit,2 bathrooms,"Andheri East, Mumbai","Club House, Lift(s), Gymnasium, Full Power Backup, Rain Water Harvesting, Jogging Track, Swimming Pool, 24 X 7 Security, Car Parking, Vaastu Compliant, Children's play area, Sports Facility, Landscaped Gardens"
East facing,960,2 BHK Apartment,9000 ,Semi-Furnished,No Deposit,2 bathrooms,"Badlapur East, Mumbai","Sports Facility, Gymnasium, Club House, Children's play area, Full Power Backup, Lift(s), 24 X 7 Security, Swimming Pool, Jogging Track, Landscaped Gardens"
East facing,1150,2 BHK Apartment,115000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Jogging Track, ATM, Maintenance Staff, Lift(s), Intercom, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Swimming Pool, Hospital, School, Shopping Mall, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Landscaped Gardens"
NorthEast facing,1501,3 BHK Apartment,51000 ,Furnished,No Deposit,3 bathrooms,"Thane West, Mumbai","Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Sports Facility, Children's play area, Staff Quarter, Rain Water Harvesting, Cafeteria, Jogging Track, Vaastu Compliant, 24 X 7 Security, Car Parking, Club House, Landscaped Gardens"
